id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
42221,AQ-0002,small_airport,"Troll Airfield",-71.95714,2.45257,4167,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Troll Station",0,ENOE,,,AT27,,https://en.wikipedia.org/wiki/Troll_airfield,,50,2024-10-05T08:24:44+00:00
45059,SCGC,small_airport,"Union Glacier Blue-Ice Runway",-79.777778,-83.320833,2461,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Union Glacier",0,SCGC,SCGC,UGL,,,https://en.wikipedia.org/wiki/Union_Glacier_Blue-Ice_Runway,,50,2025-02-26T21:41:20+00:00
341265,AT13,small_airport,"Zucchelli Ice Runway",-74.68109,164.12756,,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Zucchelli Station",0,AT13,,,,,,,50,2021-02-23T01:14:51+00:00
341264,AQ-0007,small_airport,"Enigma Lake Skiway",-74.71637,164.03408,,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Zucchelli Station",0,AT04,,,,,,,50,2021-02-23T01:13:40+00:00
342729,AQ-0010,heliport,"Arctowsky Station Heliport",-62.15941,-58.47293,,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Arctowsky Station",0,,,,,,,,0,2021-04-08T10:46:53+00:00
341267,TF-0003,heliport,"Base Alfred Faure Heliport",-46.431689,51.857784,,AN,"French Southern and Antarctic Lands",TF,(unassigned),TF-U-A,U-A,"Base Alfred Faure",0,,,,,,,,0,2021-02-23T01:55:53+00:00
342728,AQ-0009,heliport,"Comandante Ferraz Antarctic Station Helipad",-62.0857,-58.3915,,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Comandante Ferraz Antarctic Station",0,,,,,,,,0,2021-04-08T10:45:28+00:00
324981,AQ-0004,closed,"Ellsworth Station",-77.650008,-41.0333,,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Ellsworth Station",0,,,,,,https://en.wikipedia.org/wiki/Ellsworth_Station,"Ellsworth Station, BCE",0,2021-02-22T22:27:29+00:00
342429,GS-0001,heliport,"Grytviken Emergency Helipad",-54.2824,-36.5095,27,AN,"South Georgia and the South Sandwich Islands",GS,(unassigned),GS-U-A,U-A,Grytviken,0,,,,,,,,0,2021-03-26T18:40:17+00:00
342727,AQ-0008,heliport,"Machu Picchu Base Helipad",-62.09122,-58.47103,,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Machu Picchu Base",0,,,,,,,,0,2021-04-08T10:43:42+00:00
341497,TF-0004,heliport,"Amsterdam Island Heliport",-37.79807,77.57229,,AN,"French Southern and Antarctic Lands",TF,(unassigned),TF-U-A,U-A,Martin-de-Viviès,0,,,,,,,,0,2021-03-01T19:17:51+00:00
341257,AQ-0006,heliport,"Palmer Station Heliport",-64.774501,-64.051079,,AN,Antarctica,AQ,(unassigned),AQ-U-A,U-A,"Palmer Station",0,,,,,,,,0,2021-02-22T16:18:34+00:00
341266,TF-0002,heliport,"Port-aux-Français Heliport",-49.35033,70.22033,,AN,"French Southern and Antarctic Lands",TF,(unassigned),TF-U-A,U-A,Port-aux-Français,0,,,,,,,,0,2021-02-23T01:48:44+00:00
